,name,cb_url,domain,homepage_url,logo_url,short_description,t&c_filename,t&c_url,last_crawlel_date
0,Facebook,https://www.crunchbase.com/organization/facebook?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,facebook.com,http://www.facebook.com,https://res.cloudinary.com/crunchbase-production/image/upload/rde5yhdgakaqryj6zpu6,Facebook is an online social networking service that enables its users to connect with friends and family.,,,
1,eBay,https://www.crunchbase.com/organization/ebay?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ebay.com,http://ebay.com,https://res.cloudinary.com/crunchbase-production/image/upload/kx4zcwarburlmyywxgmi,eBay is an online marketplace that connects a global network of buyers and sellers.,,,
2,Redfin,https://www.crunchbase.com/organization/redfin?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,redfin.com,http://www.redfin.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1501246013/evnzslds7sego0l3yjk5.png,Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents.,,,
3,Sony,https://www.crunchbase.com/organization/sony?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,sony.net,http://www.sony.net/,https://res.cloudinary.com/crunchbase-production/image/upload/v1411511656/uiuethkebhfjlu3rbfds.png,"Sony develops and manufactures audio, video, communications, and information technology products for the consumer and professional markets.",,,
4,Adobe,https://www.crunchbase.com/organization/adobe-systems?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,adobe.com,http://www.adobe.com,https://res.cloudinary.com/crunchbase-production/image/upload/qnbpcajqvlw8bkul1tru,Adobe is a software company that provides its users with digital marketing and media solutions.,,,
5,Weebly,https://www.crunchbase.com/organization/weebly?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,weebly.com,http://www.weebly.com,https://res.cloudinary.com/crunchbase-production/image/upload/ajlvp3cqwepcrgidwdds,"Weebly is a consumer service that lets people create a website, blog or online store.",,,
6,Dropbox,https://www.crunchbase.com/organization/dropbox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dropbox.com,http://www.dropbox.com,https://res.cloudinary.com/crunchbase-production/image/upload/bccqp45xqyopu9idzehy,"Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",,,
7,AT&T,https://www.crunchbase.com/organization/at-t?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,att.com,https://www.att.com/,https://res.cloudinary.com/crunchbase-production/image/upload/rsykgays5te2z2pqyluw,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services.",,,
8,Hulu,https://www.crunchbase.com/organization/hulu?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,hulu.com,https://www.hulu.com/,https://res.cloudinary.com/crunchbase-production/image/upload/bk8cux6dapq8qjzylfaj,"Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",,,
9,Zillow,https://www.crunchbase.com/organization/zillow?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zillow.com,http://www.zillow.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1500275099/j2jcc1e5txlw573hwrd2.png,"Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.",,,
